Type,Title,Text
Bệnh Truyền Nhiễm,"Hưởng ứng Tháng hành động quốc gia phòng, chống HIV/AIDS năm 2024","Bệnh viện Nhi đồng 2 hưởng ứng Tháng hành động quốc gia phòng, chống HIV/AIDS năm 2024 và Ngày thế giới phòng, chống HIV/AIDS 01/12
Chủ đề của Tháng hành động quốc gia phòng, chống HIV/AIDS năm 2024 là: ""
Công bằng, bình đẳng trong tiếp cận dịch vụ phòng, chống HIV/AIDS - Hướng tới chấm dứt dịch bệnh AIDS vào năm 2030""
""
Hướng tới chấm dứt dịch bệnh AIDS vào năm 2030""
- không có nghĩa là không còn người nhiễm HIV, không còn người tử vong do AIDS mà có nghĩa là khi AIDS không còn là vấn đề sức khỏe đáng lo ngại ở cộng đồng.  Mục tiêu chấm dứt dịch bệnh AIDS là khi đạt các tiêu chí sau:
Số người nhiễm HIV phát hiện dưới 1000 ca mỗi năm (tương đương dưới 1 người nhiễm mới HIV/100.000 dân)
Tỷ lệ người nhiễm HIV tử vong liên quan đến AIDS <1/100.000 dân
Tỷ lệ lây truyền HIV từ mẹ sang con < 2%"
Hô hấp,Hướng dẫn sử dụng bình xịt định liều có buồng đệm đến phụ huynh trẻ dưới 5 tuổi mắc hen phế quản,"Bệnh viện Nhi đồng 2 chia sẻ nội dung hướng dẫn sử dụng bình xịt định liều có buồng đệm đến phụ
huynh trẻ dưới 5 tuổi mắc hen phế quản
Xin mời theo dõi thêm thông tin tại đường link bên dưới hoặc quét mã QR trên ảnh kèm bài đăng:
►
https://fb.watch/w3CSiI5cGD/"
Hướng dẫn chăm sóc gia đình,Sốt siêu vi trẻ em và cách chăm sóc trẻ,"Theo BS.CK1 Lê Công Thiên – Phó Trưởng khoa khoa Khám bệnh, bệnh viện Nhi đồng 2 đặc điểm của trẻ sốt siêu vi thường là sốt cao 39-40 độ C, trẻ bị ảnh hưởng tổng trạng nhiều như lừ đừ, bỏ ăn, bú kém, quấy khóc. Sốt siêu vi hiện điều trị triệu chứng và biện pháp hỗ trợ và chưa có thuốc điều trị đặc hiệu.
Trước tình hình thời tiết thay đổi như thời gian qua khiến tỷ lệ bệnh nhiễm siêu vi hô hấp có sự gia tăng. Tại các điểm trường hầu như đều được trang bị máy lạnh, đây cũng là môi trường kín, một trẻ nhiễm bệnh hô hấp có khả năng lây lan bệnh dễ hơn.
Khởi đầu trẻ có thể có các triệu chứng: sốt, ho, sổ mũi,… phụ huynh có thể chủ động chăm sóc trẻ tại nhà. Tuy nhiên khi trẻ sốt cao khoảng 39-40 độ C kèm theo ho nhiều, nghẹt mũi, bé khó thở hoặc dấu hiệu tiêu hóa, bỏ ăn,… đây là dấu hiệu cảnh báo để phụ huynh cần đưa con trẻ đến cơ sở y tế để được bác sĩ thăm khám.
Sốt siêu vi sẽ được điều trị triệu chứng và biện pháp hỗ trợ, hiện chưa có thuốc điều trị đặc hiệu. Như khi trẻ sốt cần cho trẻ uống thuốc hạ sốt, phổ biến là paratcetamol, liều dùng 10-15mg/kg, cách 4-6 giờ, phụ huynh cho trẻ sử dụng tiếp nếu có sốt lại, kết hợp lau, chườm mát bằng nước ấm, tránh dùng nước quá lạnh. Trường hợp trẻ ho ở mức độ vừa phải phụ huynh có thể xử lý tại nhà.
Bác sĩ Thiên khuyến cáo người nhà không lạm dụng thuốc mà cần đúng liều, chỉ định của bác sĩ. Ví dụ trẻ sốt và đã uống thuốc hạ sốt mà chưa hạ, phụ huynh không được sốt ruột cho trẻ dùng thêm thuốc. Bởi thuốc hạ sốt dùng quá liều có thể ảnh hưởng đến gan. Bác sĩ lưu ý sau 2-3 ngày trẻ không đáp ứng hoặc các triệu chứng trở nặng phụ huynh cần đưa trẻ đến các cơ sở y tế chuyên Nhi khoa để thăm khám.
Trong thời điểm này phụ huynh có thể hỗ trợ sức khỏe cho trẻ thông qua:
Đảm bảo dinh dưỡng, thức ăn dễ tiêu hóa;
Uống đủ nước;
Theo dõi sức khỏe trẻ;
Đối với môi trường lớp học, bác sĩ Thiên nhắn nhủ thầy cô nên mở cửa lớp cho thông thoáng để thanh lọc các tác nhân gây bệnh và cần vệ sinh máy lạnh.​"
Bệnh Truyền Nhiễm,"Tăng cường hoạt động phòng, chống bệnh Sốt xuất huyết","Bệnh viện Nhi đồng 2 dẫn nguồn thông tin bệnh sốt xuất huyết từ Trung tâm Kiểm soát bệnh tật TP.HCM (HCDC)
Thông tin xin vui lòng truy cập vào đường link:
https://cdn2.me-qr.com/pdf/da506122-19e7-4170-96c8-a2d0fa3f2b43.pdf"
Bệnh Truyền Nhiễm,Những điều cần biết về virus Marburg gây sốt xuất huyết,"Marburg là một bệnh truyền nhiễm nguy hiểm gây ra bởi virus Marburg, thuộc nhóm Filovirus giống như virus
Ebola
. Bệnh lây truyền qua tiếp xúc trực tiếp với chất cơ thể của những người mắc bệnh hoặc qua tiếp xúc với động vật chủ trị, nhất là khỉ và vượn.
Thời gian ủ bệnh Marburg thường từ 2 - 21 ngày. Khi phát bệnh, người bệnh có thể phát triển các triệu chứng như sốt cao, đau đầu, khó chịu, mệt mỏi và đau cơ. Sau đó, các triệu chứng khác có thể xuất hiện như
tiêu chảy
, đau bụng, chuột rút, buồn nôn, nôn, xuất huyết và suy giảm chức năng nội tạng. Bệnh có thể gây tử vong trong 50 - 90% trường hợp.
Hiện tại, chưa có vắc-xin hoặc thuốc điều trị đặc hiệu cho bệnh Marburg. Do đó, phòng ngừa bệnh bằng cách tuân thủ các biện pháp phòng chống bệnh truyền nhiễm như rửa tay thường xuyên, tránh tiếp xúc với chất cơ thể của người mắc bệnh hoặc động vật chủ trị, sử dụng trang thiết bị bảo vệ cá nhân và kiểm soát dịch bệnh. Nếu nghi ngờ mắc bệnh Marburg, người bệnh nên được cách ly ngay lập tức và điều trị triệu chứng để giảm thiểu nguy cơ tử vong."
Tâm Lý,Phát triển ngôn ngữ ở trẻ nói song ngữ và những điều cần lưu ý,"Theo BS.CK2 Nguyễn Thanh Sang – Trưởng khoa Phòng khám Chất lượng cao – Tâm lý bệnh viện Nhi đồng 2, trẻ em phát triển với tốc độ rất khác nhau, càng lớn thì khả năng ngôn ngữ càng đa dạng. Vì vậy phạm vi ngôn ngữ bình thường là rất lớn. Tuy nhiên, cha mẹ và các chuyên gia cần biết họ đang ở thời điểm nào nên quan tâm nhiều hơn và có thể thực hiện các bước để giúp đỡ một đứa trẻ đang tụt lại phía sau.
Tất cả các nghiên cứu cho đến nay chỉ ra rằng trẻ nói song ngữ không phát triển chậm hơn trẻ chỉ nói một ngôn ngữ chỉ vì trẻ được học hai ngôn ngữ cùng một lúc. Các ngôn ngữ khác nhau có thể khác nhau về cấu trúc cú pháp câu, nhiều từ dài hơn và cấu trúc âm thanh phức tạp hơn hoặc một số điểm ngữ pháp đa dạng và thường xuyên hơn. Bất kể những khác biệt này, trẻ em ở một độ tuổi nhất định có trí nhớ và khả năng xử lý tương tự nhau.
SỰ PHÁT TRIỂN NGÔN NGỮ ĐIỂN HÌNH CỦA TRẺ
6-9 tháng:
• Khi 6 tháng – bắt đầu bập bẹ “da da”, “ba ba”, “ada”.
• Biết quay lại khi được gọi tên và hiểu khi bạn nói “không”.
• Biết bắt chước những hành động đơn giản, như vẫy tay tạm biệt, vỗ tay.
• Biết kết hợp nhiều từ và âm thanh bập bẹ với nhau hơn, như “mamama”, “dadada”.
9-12 tháng:
• Hiểu những câu hỏi đơn giản, như “Ba đâu rồi?”
• Làm theo chỉ dẫn đơn giản có sự giúp đỡ, như “đưa bóng cho mẹ”.
• Biết kết hợp nhiều âm khác nhau, như “brmm brmm”, “dabadabadaba”.
• Bắt đầu chỉ và nói để biểu thị nhu cầu và ý muốn.
12-18 tháng:
• Biết ít nhất một bộ phận cơ thể, như mũi.
• Hiểu nhiều từ, các chỉ dẫn đơn giản và câu hỏi có/không, như “Con có uống nước không?”.
• Bắt đầu nói các từ đơn (khoảng 12 đến 20 tháng tuổi).
18-24 tháng:
• Biết nhiều bộ phận cơ thể hơn.
• Hiểu những chỉ dẫn dài hơn, như “Lấy ô tô lên...đưa cho ba”.
• Biết nói 25 đến 50 từ đơn.
• Bắt đầu ghép hai từ cùng nhau, như ""xe của ba”, “nước của mẹ”, “đi tàu”.
2 tuổi:
• Biết nói 50 đến 200 từ thường xuyên.
• Bắt đầu ghép thêm các cụm 2-3 từ với nhau, như “thêm nước nữa”, “ba đi ô tô”, “mẹ đứng lên”.
• Biết trả lời các câu hỏi đơn giản như “Cái gì thế?”, “Cún con ở đâu?”.
• Làm theo các chỉ dẫn đơn giản có hai từ chính, như “bỏ xe vào túi”.
3 tuổi:
• Hiểu các từ khác nhau, như các giới từ “trong”, “trên”, “dưới”.
• Nhận biết đồ vật theo công dụng, màu sắc hoặc hình dạng, như “Quả bóng to màu gì?”.
• Biết nói 3 đến 5 từ trong một câu, như “búp bê đi ngủ thôi”.
• Biết đặt câu hỏi “Cái gì?”, “Ai?”, “Ở đâu?”.
• Biết nói rõ ràng khoảng 75% thời gian (kỹ năng phát âm vẫn đang phát triển).
• Biết dùng các cấu trúc ngữ pháp, dù không phải câu nào cũng đúng, như: “đang” (thì hiện tại), như “Mẹ đang đi”, số nhiều (nhiều hơn một) như “hai quả bóng”.
4 tuổi:
• Biết nói nhiều từ (khoảng 900 từ), khoảng 4 từ trở lên trong một câu.
• Hiểu các khái niệm “thời gian”, như hôm qua; mùa hè; tuần trước.
• Chỉ thỉnh thoảng mới mắc lỗi ngữ pháp, nhưng thường sử dụng đúng ngữ pháp.
• Dùng từ khá chính xác – đã học được hầu hết các âm thanh lời nói.
5 tuổi:
• Có thể làm theo các chỉ dẫn gồm 3 phần, như “đứng dậy, xỏ giầy của con vào và đi ra xe ô tô”.
• Biết nói các câu gồm khoảng 6 từ trở lên đúng ngữ pháp.
• Biết nói chuyện về các sự kiện trong quá khứ, hiện tại và tương lai, như “Ngày mai nhà mình sẽ đi công viên!”.
• Biết nói về cảm xúc và biểu thị ý nghĩ, như “Con buồn lắm – An không chơi với con”.
• Làm cho người quen và người lạ hiểu được ý mình.
PHÁT TRIỂN NGÔN NGỮ Ở TRẺ NÓI SONG NGỮ
Giống như trong quá trình phát triển ngôn ngữ đơn ngữ, trẻ nhỏ song ngữ trước tiên sẽ tiếp thu được những gì dễ dàng trong ngôn ngữ của họ. Đôi khi, trẻ song ngữ có thể tìm thấy một từ hoặc cấu trúc dễ dàng hơn trong một ngôn ngữ hơn trong ngôn ngữ kia và sử dụng từ dễ dàng hơn hoặc cấu trúc dễ dàng hơn trong cả hai ngôn ngữ.
Ví dụ: trẻ có thể dùng tiếng anh để trả lời cho câu hỏi bằng tiếng việt hoặc trẻ có thể gọi tên đồ vật này bằng Tiếng việt nhưng gọi đồ vật cùng phân loại khác bằng Tiếng anh. Theo thời gian, đứa trẻ sẽ có thể xử lý ngày càng nhiều tín hiệu ngôn ngữ và cuối cùng chiến lược này sẽ bị loại bỏ và dạng đúng sẽ được sử dụng trong mỗi ngôn ngữ. Những từ ngắn dễ dàng hơn đối với trẻ nhỏ so với những từ dài. Đó là lý do tại sao trẻ nhỏ rút ngắn từ và nói “nana” thay vì “banana”. Nếu lời của mẹ ngắn hơn lời của bố, trẻ song ngữ đương nhiên sẽ chọn ngắn hơn.Tất nhiên, tần suất trẻ nghe được một từ cũng rất quan trọng, những từ được sử dụng thường xuyên sẽ được học đầu tiên. Vì vậy, những từ như “ ba”, “xe” , hay từ “ me” - sự kết hợp âm thanh dễ hơn “ mẹ” sẽ được trẻ sử dụng trước.
Trái ngược với niềm tin phổ biến, trẻ em song ngữ đạt được tất cả các mốc ngôn ngữ trong phạm vi được gọi là giới hạn bình thường đối với trẻ em đơn ngữ. Tốc độ phát triển ngôn ngữ là do vào khả năng và chất lượng tương tác của trẻ hơn là do nghe hai ngôn ngữ cùng một lúc.
TRẺ NÓI SONG NGỮ VÀ KHÓ KHĂN PHÁT TRIỂN NGÔN NGỮ
Rất nhiều cha mẹ đã được khuyến cáo rằng chỉ nên nói một ngôn ngữ tại nhà vì trẻ gặp khó khăn trong việc xử lý ngôn ngữ nghe được hoặc do tiếp xúc với nhiều ngôn ngữ khác nhau làm cho trẻ bị rối loạn ngôn ngữ. Cha mẹ sẽ làm gì với lời khuyên này?
Thực tế là không có bằng chứng nghiên cứu nào về việc song ngữ ảnh hưởng như thế nào đến phát triển ngôn ngữ của trẻ chậm phát triển liên quan đến ngôn ngữ. Tương tự như vậy không có bất kỳ bằng chứng nghiên cứu nào cho thấy việc dừng một trong các ngôn ngữ sẽ cải thiện khả năng phát triển ngôn ngữ khác của trẻ.
Nói song ngữ không gây ra các vấn đề phát triển liên quan đến ngôn ngữ (cũng như bất kỳ vấn đề phát triển nào khác) thì việc dừng một trong các ngôn ngữ sẽ không xảy ra để khắc phục vấn đề. Những khó khăn về phát triển ngôn ngữ cần được chẩn đoán chính xác nguyên nhân và sự can thiệp cần dựa trên nguyên nhân đó hoặc các triệu chứng của nó.
Nếu trẻ có vẻ có vấn đề về phát triển, điều quan trọng là phải gặp các bác sĩ chuyên khoa ( Thần kinh, Tai - mũi - họng, Âm ngữ trị liệu, Tâm lý…) để có chẩn đoán và điều trị thích hợp tình trạng rối loạn.
Cha mẹ có thể tham khảo các mốc phát triển của trẻ ở mục “ Sự phát triển ngôn ngữ điển hình của trẻ” nếu nhận thấy trẻ không đạt được bất kỳ mốc phát triển nào nên đưa trẻ đến khám càng sớm càng tốt."
Hướng dẫn chăm sóc gia đình,Bệnh viện Nhi đồng 2 hưởng ứng Ngày Thế giới rửa tay 15/10/2024,"Thông tin từ Trung tâm Kiểm soát bệnh tật TP.HCM (HCDC), Ngày Thế giới rửa tay đầu tiên được tổ chức vào năm 2008.
Kể từ đó, Ngày Thế giới rửa tay đã tiếp tục phát triển và được tổ chức hàng năm vào ngày 15 tháng 10 nhằm khuyến khích mọi người rửa tay bằng xà phòng vào những thời điểm quan trọng như một cách đơn giản, hiệu quả và tiết kiệm để phòng ngừa bệnh tật.
Mặc dù đã có những tiến bộ đáng kể trong nhận thức về vệ sinh tay, việc duy trì và cải thiện các hành vi vệ sinh tay vẫn rất quan trọng. Do đó, chủ đề Ngày Thế giới rửa tay năm nay là:
""Tại sao bàn tay sạch vẫn quan trọng?""
Bàn tay sạch vẫn là biện pháp phòng ngừa cơ bản chống lại sự lây lan của các bệnh truyền nhiễm, bệnh tật và vi trùng có hại. Cho dù ở bệnh viện, trường học hay trong các hoạt động hàng ngày, việc rửa tay bằng xà phòng đều góp phần mang lại kết quả sức khỏe tốt hơn và một thế giới an toàn hơn cho mọi người.
Rửa tay bằng xà phòng hay dung dịch rửa tay có cồn có thể giúp giảm sự lây truyền của nhiều bệnh:
• Rửa tay bằng xà phòng có thể làm giảm 30% bệnh tiêu chảy.
• Rửa tay bằng xà phòng có thể làm giảm nguy cơ mắc các bệnh nhiễm trùng đường hô hấp cấp tính tới 20%.
• Rửa tay bằng xà phòng đóng vai trò quan trọng trong việc giảm sự lây truyền các tác nhân liên quan đến dịch bệnh như bệnh tả, Ebola, bệnh lỵ, SARS, viêm gan E, COVID-19 và bệnh đậu mùa .
• Rửa tay có tác dụng bảo vệ chống lại các bệnh nhiễm trùng liên quan đến chăm sóc sức khỏe và góp phần làm giảm sự lây lan của tình trạng kháng thuốc kháng sinh.
• Rửa tay có thể góp phần làm giảm các bệnh nhiệt đới bị lãng quên.
Rửa tay đúng cách cũng có những lợi ích vượt xa việc giảm bệnh tật, chẳng hạn như giảm tỷ lệ nghỉ học và cải thiện sức khỏe.
(Nguồn: Trung tâm Kiểm soát bệnh tật TP.HCM – HCDC)"
Hướng dẫn chăm sóc gia đình,Bệnh viện Nhi đồng 2 hưởng ứng Tháng hành động vì Người cao tuổi Việt Nam,"Tháng hành động vì người cao tuổi Việt Nam – Chăm sóc người cao tuổi là trách nhiệm của cá nhân, gia đình và xã hội.
Hoạt động khám sức khỏe người cao tuổi giúp chủ động phát hiện sớm các bệnh không lây nhiễm ở người cao tuổi, từ đó kịp thời điều trị, quản lý sức khỏe, góp phần nâng cao chất lượng cuộc sống. Ngoài ra còn giúp tạo lập dữ liệu ban đầu cho hồ sơ sức khỏe điện tử của người dân Thành phố.
Bích chương về “5 lợi ích của việc khám sức khỏe định kỳ ở người cao tuổi”
https://hcdc.vn/public/img/02bf8460bf0d6384849ca010eda38cf8e9dbc4c7/images/dangbai2/images/tai-lieu-truyen-thong-ve-kham-suc-khoe-dinh-ky-o-nguoi-cao-tuoi/files/Bich%20chuong%205%20loi%20ich%20KSK%20NCT%20FA.pdf
Bích chương “Quy trình khám sức khỏe người cao tuổi”
https://admin.medinet.gov.vn//Data/soytehcm//nghiepvuy/Attachments/2024_8/qt_ksk_1_4820249.pdf
Video hướng dẫn chăm sóc sức khỏe người cao tuổi:
https://youtu.be/bz1h5mDV0JE?si=MvI4GKmXMk81I0lr
Hỏi dáp về lợi ích của khám sức khỏe định kỳ ở người cao tuổi
Phần 1:
https://hcdc.vn/hoi-dap-ve-loi-ich-cua-kham-suc-khoe-dinh-ky-o-nguoi-cao-tuoi-phan-1-VorOPb.html
Phần 2:
https://hcdc.vn/hoi-dap-ve-loi-ich-cua-kham-suc-khoe-dinh-ky-o-nguoi-cao-tuoi-phan-2-w3n2Rj.html"
TMH - Mắt - RHM,Hưởng ứng Ngày thị giác thế giới,"Bệnh viện Nhi đồng 2 hưởng ứng Ngày thị giác thế giới năm 2024
Thông điệp hưởng ứng: ""
Ưu tiên chăm sóc mắt trẻ em
""
Ngày Thị Giác Thế Giới lần đầu tiên được tổ chức vào năm 1998 nhằm nâng cao nhận thức toàn cầu về tình trạng mù lòa, suy giảm thị lực, và phục hồi chức năng thị giác. Hướng đến mục tiêu “Quyền được nhìn thấy cho mọi người vào năm 2030”, Tổ chức Y tế Thế giới (WHO) cùng Tổ chức Phòng Chống Mù Lòa Quốc tế đã chọn ngày thứ Năm của tuần thứ hai trong tháng 10 hàng năm là Ngày Thị Giác Thế Giới.
Năm nay, Ngày Thị Giác Thế Giới (10/10/2024) có chủ đề “Ưu tiên chăm sóc mắt trẻ em” nhằm nhấn mạnh tầm quan trọng của việc chăm sóc sức khỏe mắt cho trẻ em, đảm bảo các dịch vụ y tế dễ tiếp cận và chi phí hợp lý cho tất cả trẻ em trên toàn thế giới.
Con số đáng chú ý về sức khỏe mắt trẻ em
Hiện có khoảng 450 triệu trẻ em trên toàn thế giới mắc các bệnh về mắt cần điều trị, nhiều trẻ trong số đó không thể tiếp cận các dịch vụ chăm sóc mắt chất lượng và phù hợp. Đặc biệt, trẻ em ở các quốc gia thu nhập thấp và trung bình có nguy cơ bỏ học cao hơn 2-5 lần so với trẻ em có thị lực tốt. Mỗi ngày, nhiều trẻ em bỏ lỡ cơ hội học tập và kết nối xã hội chỉ vì các vấn đề về thị lực, những tình trạng này hoàn toàn có thể điều trị hoặc thậm chí chữa khỏi.
Một nghiên cứu của Trung tâm Kiểm soát bệnh tật TP. Hồ Chí Minh đã thực hiện khám mắt cho 1.230 học sinh từ mầm non đến phổ thông tại 7 quận, huyện và thành phố Thủ Đức trong năm học 2023-2024. Kết quả cho thấy tỷ lệ trẻ mắc tật khúc xạ chiếm 54,3%, với tỷ lệ ở bậc mầm non là 26,3%, tiểu học là 47,3%, và cấp THCS, THPT cùng ở mức 70,9%.
Bảo vệ thị giác cho thế hệ tương lai
Giảm thời gian sử dụng màn hình và khuyến khích hoạt động ngoài trời:
Nghiên cứu cho thấy việc giảm thời gian sử dụng thiết bị điện tử giúp trẻ em hạn chế nguy cơ bị cận thị. Cha mẹ và nhà trường có thể thực hiện điều này bằng cách hạn chế thời gian trẻ chơi game, xem tivi, và đảm bảo các hoạt động ngoài trời thường xuyên.
Nghỉ ngơi mắt theo nguyên tắc 20:20:20:
Sau mỗi 20 phút đọc sách hoặc làm việc với máy tính, hãy cho mắt nghỉ ngơi 20 giây và nhìn xa khoảng 20 feet (khoảng 6 mét).
Kiểm tra mắt thường xuyên:
Trẻ em nên kiểm tra mắt định kỳ tại trường hoặc các cơ sở y tế khi có dấu hiệu mỏi mắt, nhìn mờ, hoặc nheo mắt. Bên cạnh đó, WHO đã phát triển ứng dụng di động miễn phí “WHOeyes”, giúp kiểm tra thị lực tại nhà một cách tiện lợi và chính xác, phù hợp với mọi đối tượng từ 8 tuổi trở lên.
Ngồi học đúng tư thế và nơi có đủ ánh sáng:
Đảm bảo trẻ em ngồi học trên bàn ghế phù hợp và trong không gian đủ sáng sẽ giúp giảm nguy cơ mắc các tật về mắt.
Chế độ ăn uống lành mạnh:
Ăn uống đầy đủ dinh dưỡng, đặc biệt chú trọng đến các thực phẩm tốt cho mắt như cà rốt, cá giàu omega-3, và rau xanh.
Sử dụng dụng cụ bảo vệ mắt:
Khi ra ngoài, trẻ cần đeo kính râm và đội nón để tránh tia cực tím. Ngoài ra, cần đeo kính bảo hộ khi tiếp xúc với các hóa chất nguy hiểm.
(Nguồn: Trung tâm Kiểm soát bệnh tật TP.HCM – HCDC)"
Hướng dẫn chăm sóc gia đình,Hưởng ứng Tuần lễ làm mẹ an toàn,"Bệnh viện Nhi đồng 2 hưởng ứng Tuần lễ làm mẹ an toàn năm 2024
Thông điệp: ""
Chăm sóc đúng cách trong thời kỳ sơ sinh giúp trẻ khỏe mạnh và phát triển tốt
""
Hỗ trợ nuôi con bằng sữa mẹ cho tất cả mọi người
Nuôi con bằng sữa mẹ là một trong những cách hiệu quả nhất để đảm bảo sức khỏe cho trẻ sơ sinh và trẻ nhỏ. Tuy nhiên, theo thống kê từ Tổ chức Y tế Thế giới (WHO) gần 2/3 trẻ không được dùng sữa mẹ hoàn toàn trong 6 tháng đầu đời.
Sữa mẹ là thức ăn lý tưởng cho trẻ bởi những lợi ích mà nó mang lại. Cụ thể, sữa mẹ an toàn, sạch và chứa nhiều kháng thể giúp bảo vệ trẻ chống lại nhiều bệnh thường gặp. Bên cạnh đó, sữa mẹ cung cấp tất cả năng lượng và dinh dưỡng cần thiết trong 6 tháng đầu đời, cung cấp hơn 50% nhu cầu dinh dưỡng của trẻ trong 6 tháng tiếp theo, cũng như cung cấp 1/3 nhu cầu dinh dưỡng trong năm thứ hai.
Tuần lễ Nuôi con bằng sữa mẹ (1-7/8/2024) được tổ chức vào tuần đầu tiên của tháng 8 hàng năm. Chủ đề năm nay là “Hỗ trợ nuôi con bằng sữa mẹ cho tất cả mọi người”. Chiến dịch này nhằm tôn vinh những người phụ nữ nuôi con bằng sữa mẹ, đồng thời nêu bật cách mà gia đình, xã hội, cộng đồng và nhân viên y tế có thể hỗ trợ các bà mẹ cho con bú.
- Tổ chức Y tế Thế giới (WHO) và Quỹ Nhi đồng Liên Hợp Quốc (UNICEF) khuyến cáo nuôi con bằng sữa mẹ trong
1 giờ đầu sau sanh
và bú mẹ
hoàn toàn trong
6 tháng đầu
, không dùng thực phẩm hoặc chất lỏng, bao gồm nước.
- Trẻ nên được
bú theo nhu cầu
- ban ngày và ban đêm.
Không bình sữa, núm vú giả
.
- Từ 6 tháng tuổi, trẻ bắt đầu ăn dặm trong khi vẫn
tiếp tục bú sữa mẹ cho đến 2 tuổi và lâu hơn
.
(Nguồn: Trung tâm Kiểm soát bệnh tật TP.HCM - HCDC)"
